ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000075151	EIF4G3	1	21132963	21503377	-1	protein_coding	8672	EIF4G3	0.999999906532496	-0.901867404	139	12.38	3.064e-06	rs34711566	14
ENSG00000117298	ECE1	1	21543740	21671997	-1	protein_coding	1889	ECE1	0.999768645958376	NA	55	14.86	8.882e-05	rs34711566	14
ENSG00000090020	SLC9A1	1	27425306	27493472	-1	protein_coding	6548	SLC9A1	0.952228129998873	-1.293556242	1	2.128	0.0001174	rs150461998	17
ENSG00000142784	WDTC1	1	27561007	27635110	1	protein_coding	23038	WDTC1	0.99930782583365	-0.35136435	1	0.225	8.377e-05	rs150461998	17
ENSG00000186501	TMEM222	1	27648651	27662891	1	protein_coding	84065	TMEM222	0.0719860750297163	-0.731671747	1	34	9.063e-06	rs150461998	17
ENSG00000142765	SYTL1	1	27668513	27680421	1	protein_coding	84958	SYTL1	1.0822256796955e-07	0.055031121	1	34	9.063e-06	rs150461998	17
ENSG00000142733	MAP3K6	1	27681675	27693383	-1	protein_coding	9064	MAP3K6	4.90980509511437e-15	-0.099370953	1	4.29	0.0001338	rs150461998	17
ENSG00000142748	FCN3	1	27695603	27701315	-1	protein_coding	8547	FCN3	0.0172513382815348	-0.210510136	1	4.29	0.0001338	rs150461998	17
ENSG00000174950	CD164L2	1	27705666	27709870	-1	protein_coding	388611	CD164L2	0.0337448656970662	-0.467583072	1	4.29	0.0001338	rs150461998	17
ENSG00000130772	MED18	1	28655513	28662476	1	protein_coding	100996782	MED18	0.000448333946024653	-1.262320618	1	0.385	5.513e-05	rs41264145	18
ENSG00000204138	PHACTR4	1	28696114	28826881	1	protein_coding	65979	PHACTR4	0.00427377620221426	-0.720233537	10	9.066	2.237e-06	rs41264145	18
ENSG00000180198	RCC1	1	28832455	28865812	1	protein_coding	1104	RCC1	0.19394393095681	-0.357665724	2	8.653	2.237e-06	rs41264145	18
ENSG00000180098	TRNAU1AP	1	28879597	28905051	1	protein_coding	54952	TRNAU1AP	0.882819951620334	-0.346135598	2	1.788	8.572e-08	rs61786047;rs13373966	18
ENSG00000120656	TAF12	1	28915835	28969597	-1	protein_coding	6883	TAF12	0.892665247929895	-0.894059379	6	5.921	6.938e-06	rs61786035	18
ENSG00000162419	GMEB1	1	28995244	29045865	1	protein_coding	10691	GMEB1	0.960593932192331	NA	18	10.66	7.41e-09	rs13373966;rs11799532;rs61786047	18
ENSG00000198492	YTHDF2	1	29063133	29096287	1	protein_coding	51441	YTHDF2	0.99116572766449	-0.471319672	13	13.23	2.245e-08	rs61786047;rs11799532	18
ENSG00000116329	OPRD1	1	29138654	29190208	1	protein_coding	4985	OPRD1	0.109062189113339	NA	49	17.27	1.636e-08	rs61786047;rs533123;rs72663883	18
ENSG00000116350	SRSF4	1	29474255	29508499	-1	protein_coding	6429	SRSF4	0.934762697175769	-0.383676587	1	10.54	1.663e-05	rs17340871	19
ENSG00000116353	MECR	1	29519385	29557454	-1	protein_coding	51102	MECR	0.0036031322030062	-0.485347621	1	10.54	1.663e-05	rs17340871	19
ENSG00000060656	PTPRU	1	29563028	29653325	1	protein_coding	10076	PTPRU	0.990698955783316	NA	2	7.339	7.733e-06	rs17340871	19
ENSG00000116560	SFPQ	1	35641979	35658749	-1	protein_coding	6421	SFPQ	0.999527260233545	-0.457583209	1	1.291	1.005e-05	rs11264118	21
ENSG00000146463	ZMYM4	1	35734568	35887659	1	protein_coding	9202	ZMYM4	0.999999928925947	-1.418536543	9	6.596	2.971e-05	rs676614	21
ENSG00000142687	KIAA0319L	1	35899091	36023551	-1	protein_coding	79932	KIAA0319L	0.188543868959937	-0.793474122	7	7.241	5.699e-06	rs676614	21
ENSG00000020129	NCDN	1	36023074	36032875	1	protein_coding	23154	NCDN	0.99673508374991	-0.669795187	1	3.68	5.35e-06	rs676614	21
ENSG00000116819	TFAP2E	1	36038971	36060929	1	protein_coding	339488	TFAP2E	0.000972259060989771	-0.148652974	3	3.68	5.35e-06	rs676614	21
ENSG00000126067	PSMB2	1	36067185	36107445	-1	protein_coding	5690	PSMB2	0.972351383142869	-0.273977561	3	5.261	3.717e-06	rs676614	21
ENSG00000142686	C1orf216	1	36179476	36185073	-1	protein_coding	127703	C1orf216	0.128378757752275	-0.845976416	18	14.92	4.98e-08	rs581459;rs10908410;rs676614	21
ENSG00000092853	CLSPN	1	36185819	36235568	-1	protein_coding	63967	CLSPN	0.991559393439728	-0.367194133	40	24.8	3.888e-08	rs581459;rs10908410;rs676614;rs679457	21
ENSG00000134698	AGO4	1	36273773	36323491	1	protein_coding	192670	AGO4	0.990043812111039	-2.00678389	19	12.92	2.084e-08	rs581459;rs10908410;rs679457;rs676614	21
ENSG00000092847	AGO1	1	36335409	36395211	1	protein_coding	26523	AGO1	0.999999463471423	-3.369239565	38	15.13	1.083e-09	rs581459;rs10908410;rs679457	21
ENSG00000126070	AGO3	1	36396319	36538101	1	protein_coding	192669	AGO3	0.999998843614557	-6.689327411	73	15.24	7.32e-09	rs581459;rs679457	21
ENSG00000092850	TEKT2	1	36549676	36553876	1	protein_coding	27285	TEKT2	4.73097417544403e-09	NA	8	11.51	1.196e-07	rs581459;rs679457	21
ENSG00000116863	ADPRHL2	1	36554476	36559533	1	protein_coding	54936	ADPRHL2	6.50306503732575e-05	-0.697415822	10	12.12	2.373e-06	rs581459;rs679457	21
ENSG00000171812	COL8A2	1	36560837	36590821	-1	protein_coding	1296	COL8A2	0.699343492871063	-0.291290811	19	12.12	1.297e-05	rs581459;rs679457;rs4653164	21
ENSG00000054116	TRAPPC3	1	36602173	36615098	-1	protein_coding	27095	TRAPPC3	0.810539219939377	-0.467007911	32	16.81	8.369e-07	rs4653164	21
ENSG00000116871	MAP7D1	1	36621180	36646450	1	protein_coding	55700	MAP7D1	0.973584103721944	NA	29	12.33	4.293e-07	rs4653164	21
ENSG00000185090	MANEAL	1	38259474	38266809	1	protein_coding	149175	MANEAL	0.00438904419096243	NA	6	5.136	6.147e-06	rs28701975	22
ENSG00000196449	YRDC	1	38268616	38273857	-1	protein_coding	79693	YRDC	0.13339560775993	0.277339559	6	3.105	6.147e-06	rs28701975	22
ENSG00000197982	C1orf122	1	38272651	38275126	1	protein_coding	127687	C1orf122	0.123246499727265	NA	6	3.105	6.147e-06	rs28701975	22
ENSG00000188786	MTF1	1	38275239	38325292	-1	protein_coding	4520	MTF1	0.991394717050406	-1.990277896	10	10.84	6.147e-06	rs28701975	22
ENSG00000230610	AL929472.1	1	38292232	38293886	-1	protein_coding	NA	NA	NA	NA	1	1.735	7.149e-05	rs28701975	22
ENSG00000204084	INPP5B	1	38326369	38412729	-1	protein_coding	3633	INPP5B	7.43289930464084e-09	0.019111125	3	10.84	6.766e-05	rs28701975	22
ENSG00000183431	SF3A3	1	38422647	38456593	-1	protein_coding	10946	SF3A3	0.999895351853046	1.043142234	1	6.048	0.001291	rs28701975	22
ENSG00000127603	MACF1	1	39546988	39952849	1	protein_coding	23499	MACF1	1	-0.445430382	1	14.87	2.873e-06	rs13374459	24
ENSG00000187815	ZFP69	1	40942887	40962015	1	protein_coding	339559	ZFP69	8.55771991050002e-08	-0.558473075	1	1.95	5.375e-06	rs150863806	25
ENSG00000204060	FOXO6	1	41827594	41849262	1	protein_coding	100132074	FOXO6	0.437580050850403	NA	16	17.19	2.912e-06	rs10218712;rs61774748	26
ENSG00000066056	TIE1	1	43766664	43788779	1	protein_coding	7075	TIE1	8.71416663313257e-12	-0.019633805	5	11.23	1.917e-06	rs12069733;rs2842198	27
ENSG00000117400	MPL	1	43803478	43818443	1	protein_coding	4352	MPL	1.43928006099179e-06	-0.172843809	20	22.4	1.998e-05	rs2842198;rs12069733	27
ENSG00000117399	CDC20	1	43824626	43828874	1	protein_coding	991	CDC20	0.000181853834795088	-0.322700115	14	22.4	2.749e-05	rs2842198;rs12069733	27
ENSG00000066322	ELOVL1	1	43829068	43833696	-1	protein_coding	102466723	ELOVL1	0.223414530247304	NA	19	22.4	1.415e-05	rs2842198;rs12069733	27
ENSG00000159479	MED8	1	43849588	43855479	-1	protein_coding	112950	MED8	8.1582621367423e-06	0.403723391	25	21.2	1.415e-05	rs12069733;rs2842198	27
ENSG00000198198	SZT2	1	43855553	43918321	1	protein_coding	23334	SZT2	1.51746679777732e-07	0.623916217	70	21.2	3.382e-06	rs2842198;rs12069733	27
ENSG00000178922	HYI	1	43916824	43919660	-1	protein_coding	81888	HYI	3.15819250162145e-08	-0.187049626	20	18.87	3.382e-06	rs2842198;rs12069733	27
ENSG00000142949	PTPRF	1	43990858	44089343	1	protein_coding	5792	PTPRF	0.999998378977356	-1.116923282	160	18.13	4.888e-16	rs673253;rs618678;rs2819340;rs3828149;rs11210892;rs803679	27
ENSG00000066135	KDM4A	1	44115829	44171186	1	protein_coding	9682	KDM4A	0.999993865120135	-1.029432354	74	17.97	1.963e-15	rs11210892;rs2819340;rs3828149;rs673253;rs618678;rs803679;rs12401813;rs145155829	27
ENSG00000126091	ST3GAL3	1	44171495	44396831	1	protein_coding	6487	ST3GAL3	0.573989459299218	0.35827043	233	17.97	1.046e-08	rs618678;rs12401813;rs145155829;rs2819340;rs803679;rs3828149;rs783303;rs113551349;rs3011216;rs3791129	27
ENSG00000117407	ARTN	1	44398992	44402913	1	protein_coding	9048	ARTN	0.293100341552423	-0.349064033	7	8.056	1.801e-07	rs3791129;rs803679	27
ENSG00000117408	IPO13	1	44412611	44433694	1	protein_coding	9670	IPO13	0.972444338181171	-1.047462746	18	13.6	4.911e-08	rs3791129;rs803679	27
ENSG00000132768	DPH2	1	44435672	44439041	1	protein_coding	1802	DPH2	0.00684674768380938	0.103530113	10	9.536	4.911e-08	rs3791129;rs803679	27
ENSG00000117410	ATP6V0B	1	44440159	44443967	1	protein_coding	533	ATP6V0B	0.927635231427402	-0.400284464	7	9.536	4.911e-08	rs3791129;rs803679	27
ENSG00000117411	B4GALT2	1	44444615	44456840	1	protein_coding	8704	B4GALT2	0.295417380860886	-0.049213329	9	16	4.911e-08	rs3791129;rs803679	27
ENSG00000159214	CCDC24	1	44457031	44462200	1	protein_coding	149473	CCDC24	2.01106420911485e-08	-0.436774622	6	16	2.32e-06	rs3791129	27
ENSG00000196517	SLC6A9	1	44457172	44497139	-1	protein_coding	6536	SLC6A9	0.0442530405880805	-0.177975638	10	16	7.956e-07	rs3791129;rs113551349;rs783303	27
ENSG00000171872	KLF17	1	44584522	44600812	1	protein_coding	128209	KLF17	4.24588312614059e-09	-0.303102273	18	8.223	2.127e-06	rs2485653	27
ENSG00000178028	DMAP1	1	44679127	44686353	1	protein_coding	55929	DMAP1	0.336141633295794	-0.216507656	6	11.81	4.088e-06	rs2485653	27
ENSG00000117419	ERI3	1	44686742	44820932	-1	protein_coding	79033	ERI3	0.129756091189771	NA	25	17.23	4.088e-06	rs2485653	27
ENSG00000269113	TRABD2B	1	48226200	48462567	-1	protein_coding	388630	TRABD2B	0.370916244398265	NA	47	15.5	0.0001875	rs17460825	28
ENSG00000186094	AGBL4	1	48998527	50489585	-1	protein_coding	84871	AGBL4	3.57830057240453e-06	-0.036348452	45	16.78	3.181e-08	rs6588355	29
ENSG00000227839	AL645730.2	1	50459990	50461874	1	protein_coding	NA	NA	NA	NA	1	1.122	1.778e-07	rs6588355	29
ENSG00000162374	ELAVL4	1	50513686	50669458	1	protein_coding	1996	ELAVL4	0.976912761697479	-0.166779752	20	18.94	9.135e-08	rs6588355	29
ENSG00000173406	DAB1	1	57460451	59012406	-1	protein_coding	1600	DAB1	0.98140856728469	-0.328080028	1	7.363	6.129e-06	rs35232728	30
ENSG00000172456	FGGY	1	59762310	60233347	1	protein_coding	55277	FGGY	1.20951730816233e-11	0.055224923	2	8.06	7.583e-05	rs74085807	32
ENSG00000162599	NFIA	1	61330931	61928465	1	protein_coding	4774	NFIA	0.999555166212873	-0.180372327	3	5.189	6.16e-06	rs12040431	34
ENSG00000162433	AK4	1	65613232	65697828	1	protein_coding	100507855	AK4	0.23613336099277	-0.422099401	88	14.42	1.593e-06	rs6700762	35
ENSG00000184588	PDE4B	1	66258197	66840259	1	protein_coding	5142	PDE4B	0.709078616910536	-0.830512064	25	17.87	1.357e-09	rs6588168	36
ENSG00000033122	LRRC7	1	70034081	70617628	1	protein_coding	57554	LRRC7	0.999998533487013	-0.194367739	113	16.68	9.364e-07	rs114874952;rs114084161	37
ENSG00000172260	NEGR1	1	71861623	72748417	-1	protein_coding	257194	NEGR1	0.951349394977358	-1.713579543	286	17.44	2.633e-09	rs2422014;rs1121296;rs12142659;rs12027233;rs6678313;rs6424456	38
ENSG00000183347	GBP6	1	89829617	89852020	1	protein_coding	163351	GBP6	2.45413567039759e-10	-0.556889498	18	14.48	6.468e-05	rs6658057	43
ENSG00000143032	BARHL2	1	91177096	91182794	-1	protein_coding	343472	BARHL2	0.222344944286557	0.135582777	4	23	4.449e-06	rs12048450	44
ENSG00000122482	ZNF644	1	91380859	91487829	-1	protein_coding	84146	ZNF644	0.997328579642784	-0.759860554	105	17.02	1.165e-06	rs609627	44
ENSG00000203910	C1orf146	1	92683497	92711370	1	protein_coding	388649	C1orf146	0.0240479302432628	-0.278440316	18	11.7	5.905e-05	rs10735779	45
ENSG00000174842	GLMN	1	92711959	92764544	-1	protein_coding	11146	GLMN	4.16913776813199e-06	NA	18	12.73	2.221e-05	rs10735779	45
ENSG00000122484	RPAP2	1	92764522	92867613	1	protein_coding	79871	RPAP2	0.00208553433642619	-0.400426112	33	12.01	2.221e-05	rs10735779	45
ENSG00000162676	GFI1	1	92940319	92952433	-1	protein_coding	2672	GFI1	0.029628557114147	0.133898596	12	16.41	9.654e-07	rs10735779	45
ENSG00000067208	EVI5	1	92974253	93257961	-1	protein_coding	7813	EVI5	2.33071549244674e-06	0.953269852	90	11.22	4.135e-07	rs10735779	45
ENSG00000117519	CNN3	1	95362507	95392834	-1	protein_coding	1266	CNN3	0.864370512768343	NA	1	1.181	0.001907	rs1023330	46
ENSG00000172339	ALG14	1	95439963	95538501	-1	protein_coding	199857	ALG14	0.000832660846870737	0.123736396	35	9.321	0.0008023	rs1023330	46
ENSG00000152078	TMEM56	1	95582894	95663163	1	protein_coding	148534	TMEM56	0.338393703132694	-1.163941787	15	11.16	5.937e-07	rs4950076;rs1023330;rs67781210	46
ENSG00000271092	TMEM56-RWDD3	1	95583479	95712781	1	protein_coding	100527978	TMEM56-RWDD3	0.00274643100808391	NA	16	11.16	5.937e-07	rs4950076;rs1023330;rs67781210	46
ENSG00000117569	PTBP2	1	97187221	97289294	1	protein_coding	58155	PTBP2	0.992693429228573	-0.165757152	35	11.05	5.898e-09	rs11165690;rs78247756	47
ENSG00000188641	DPYD	1	97543299	98386605	-1	protein_coding	1806	DPYD	4.18972244079049e-09	0.587602161	493	24.9	4.371e-17	rs6693628;rs1879375;rs12063370;rs1879371;rs4336888;rs6696976;rs7531138;rs78891607;rs56012174;rs4375301;rs11165917;rs61785886;rs75451404;rs4271249;rs1198588	48
ENSG00000118733	OLFM3	1	102268130	102462586	-1	protein_coding	118427	OLFM3	6.96790168770402e-05	-0.772875485	62	21.8	1.747e-06	rs6577281	49
ENSG00000198890	PRMT6	1	107599267	107601916	1	protein_coding	55170	PRMT6	0.0241276210660794	-0.632333634	15	25.5	1.819e-06	rs61798463;rs61798467	50
ENSG00000116473	RAP1A	1	112084840	112259313	1	protein_coding	5906	RAP1A	0.934189797815675	-0.449276482	3	8.23	1.988e-06	rs1338078;rs2076590	52
ENSG00000197852	FAM212B	1	112223252	112298446	-1	protein_coding	101928718	FAM212B	0.00359051662635945	0.902451405	1	3.597	1.988e-06	rs2076590	52
ENSG00000134245	WNT2B	1	113009163	113072787	1	protein_coding	7482	WNT2B	0.285537291393408	1.066729764	11	11.91	0.0001049	rs3748655	53
ENSG00000007341	ST7L	1	113066140	113163447	-1	protein_coding	54879	ST7L	1.94396958967683e-06	0.443371486	41	20.4	0.0001049	rs3748655	53
ENSG00000116489	CAPZA1	1	113161795	113214241	1	protein_coding	829	CAPZA1	0.983027524743633	-0.292242691	19	22.1	7.506e-05	rs3748655	53
ENSG00000155363	MOV10	1	113215763	113243368	1	protein_coding	4343	MOV10	0.998090427630705	-0.58315686	24	22.1	7.506e-05	rs3748655	53
ENSG00000155366	RHOC	1	113243728	113250056	-1	protein_coding	389	RHOC	0.586036085485523	-0.25296518	16	19.29	0.006143	rs3748655	53
ENSG00000271810	RP11-426L16.10	1	113245236	113254055	-1	protein_coding	NA	NA	NA	NA	14	19.29	0.006143	rs3748655	53
ENSG00000155367	PPM1J	1	113252616	113258099	-1	protein_coding	333926	PPM1J	2.30817311285829e-07	NA	3	6.848	0.006759	rs3748655	53
ENSG00000134207	SYT6	1	114631913	114696541	-1	protein_coding	148281	SYT6	0.0328455242915539	-0.029692702	2	3.454	0.0004275	rs1503835	54
ENSG00000197323	TRIM33	1	114935399	115053781	-1	protein_coding	51592	TRIM33	0.999998355934464	0.983689465	61	13.23	5.49e-06	rs34864279	55
ENSG00000175984	DENND2C	1	115125469	115213043	-1	protein_coding	163259	DENND2C	1.70408687930238e-07	-0.807551207	2	10.51	5.407e-05	rs72687877	55
ENSG00000116748	AMPD1	1	115215719	115238239	-1	protein_coding	270	AMPD1	3.77976185034765e-12	-0.122491724	2	9.744	NA	rs6688350	55
ENSG00000213281	NRAS	1	115247090	115259515	-1	protein_coding	4893	NRAS	0.912772900891261	-1.243467832	7	9.744	7.607e-07	rs6688350;rs72687877;rs2224086	55
ENSG00000009307	CSDE1	1	115259534	115301297	-1	protein_coding	7812	CSDE1	0.999951563731616	-0.125092369	43	15.43	1.728e-08	rs6688350;rs72687877;rs2224086	55
ENSG00000052723	SIKE1	1	115312100	115323306	-1	protein_coding	80143	SIKE1	0.0729823085203998	-2.132610485	9	12.15	1.728e-08	rs6688350;rs2224086	55
ENSG00000198765	SYCP1	1	115397424	115537991	1	protein_coding	6847	SYCP1	0.949997702198387	-0.011005087	19	20.6	1.124e-06	rs6688350;rs72687877;rs57026899	55
ENSG00000134200	TSHB	1	115572415	115576941	1	protein_coding	7252	TSHB	0.00575808545782517	0.252467973	2	4.156	9.072e-06	rs57026899;rs6688350	55
ENSG00000134198	TSPAN2	1	115590632	115632121	-1	protein_coding	10100	TSPAN2	0.000100586967317338	1.134025592	37	12.8	1.105e-06	rs6688350;rs57026899	55
ENSG00000134259	NGF	1	115828539	115880857	-1	protein_coding	4803	NGF	0.704368811874854	-0.194521852	25	18.97	2.73e-06	rs12145726;rs7523654	55
ENSG00000134247	PTGFRN	1	117452679	117532980	1	protein_coding	5738	PTGFRN	0.6388592328477	1.52371692	17	14.38	0.0002028	rs1127215	57
ENSG00000134256	CD101	1	117544382	117579167	1	protein_coding	9398	CD101	5.54031092302461e-10	0.179384888	3	1.023	0.001744	rs1127215	57
ENSG00000136631	VPS45	1	150039369	150117505	1	protein_coding	11311	VPS45	0.00030556962283822	-0.505426892	98	19.7	4.089e-09	rs12138231;rs113833990;rs72692854;rs72692873;rs143773357	59
ENSG00000023902	PLEKHO1	1	150121373	150136916	1	protein_coding	51177	PLEKHO1	0.949230797050779	NA	46	15.25	4.089e-09	rs12138231;rs72692854;rs113833990;rs78681982;rs72692873;rs143773357	59
ENSG00000143401	ANP32E	1	150190717	150208504	-1	protein_coding	81611	ANP32E	0.976918663468077	-1.251303937	22	8.331	8.441e-06	rs113833990;rs78681982	59
ENSG00000118298	CA14	1	150229554	150237478	1	protein_coding	23632	CA14	1.43471644090703e-09	-0.466303623	11	13.9	1.024e-05	rs113833990	59
ENSG00000117362	APH1A	1	150237804	150241980	-1	protein_coding	51107	APH1A	0.132136061884529	-0.813124008	7	13.9	1.024e-05	rs113833990	59
ENSG00000118292	C1orf54	1	150240600	150253327	1	protein_coding	79630	C1orf54	0.178651547006617	-0.647220718	11	13.9	1.024e-05	rs113833990;rs78681982;rs143773357	59
ENSG00000159208	C1orf51	1	150254953	150259505	1	protein_coding	148523	C1orf51	0.804527837676217	0.11870968	14	9.817	4.34e-06	rs113833990;rs78681982;rs143773357;rs4970946	59
ENSG00000187145	MRPS21	1	150266289	150281414	1	protein_coding	54460	MRPS21	0.353450051428985	0.646624906	28	12.26	4.34e-06	rs113833990;rs78681982;rs143773357;rs4970946	59
ENSG00000117360	PRPF3	1	150293925	150325671	1	protein_coding	9129	PRPF3	0.999998843810724	-0.213771034	46	12.26	8.248e-06	rs113833990;rs4970946	59
ENSG00000163125	RPRD2	1	150335567	150449042	1	protein_coding	23248	RPRD2	0.999977310558099	-0.208277019	187	18.82	3.741e-06	rs4970946;rs113833990;rs143773357	59
ENSG00000143374	TARS2	1	150459887	150480078	1	protein_coding	102465529	TARS2	1.87455824083767e-08	0.846507085	38	15.11	3.741e-06	rs4970946;rs113833990;rs72692873;rs143773357	59
ENSG00000143369	ECM1	1	150480538	150486265	1	protein_coding	1893	ECM1	7.32850722654138e-08	0.615278588	10	3.178	7.836e-06	rs4970946;rs113833990;rs72692873;rs143773357	59
ENSG00000143382	ADAMTSL4	1	150521884	150533413	1	protein_coding	54507	ADAMTSL4	7.08734668179842e-16	-0.228887609	5	9.242	0.0001152	rs113833990;rs143773357;rs72702561	59
ENSG00000225996	AL356356.1	1	150521897	150524367	1	protein_coding	NA	NA	NA	NA	3	0.975	0.0001152	rs113833990	59
ENSG00000203804	ADAMTSL4-AS1	1	150533480	150533969	-1	protein_coding	NA	ADAMTSL4-AS1	NA	NA	1	9.242	0.0001805	rs143773357;rs72702561	59
ENSG00000143384	MCL1	1	150547032	150552066	-1	protein_coding	4170	MCL1	0.950092967336216	-0.405900257	1	9.242	0.0001805	rs143773357;rs72702561	59
ENSG00000143457	GOLPH3L	1	150618701	150669630	-1	protein_coding	55204	GOLPH3L	0.0221067463015886	-0.592524386	3	7.488	7.296e-05	rs143773357;rs72702561	59
ENSG00000143452	HORMAD1	1	150670536	150693364	-1	protein_coding	84072	HORMAD1	0.00312691335861907	-0.404096516	2	7.488	9.495e-06	rs143773357;rs72702561	59
ENSG00000163131	CTSS	1	150702672	150738433	-1	protein_coding	1520	CTSS	0.628282928532702	-0.390794499	2	7.883	1.174e-05	rs72702561;rs143773357	59
